Name				342_n020_m400_bt100
Number_of_Customers		20
Number_of_Items			400
Number_of_ItemTypes		100
Number_of_Vehicles		11
TimeWindows			1

VEHICLE
Mass_Capacity			12595
CargoSpace_Length		60
CargoSpace_Width		25
CargoSpace_Height		30
Wheelbase			48
Max_Mass_FrontAxle		7100
Max_Mass_RearAxle		11500
Distance_FrontAxle_CargoSpace	4

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		1000		0		0		0
1		42		27		22		0		979		10		562.16		6487
2		28		60		16		0		256		10		408.13		4297
3		40		40		20		0		184		10		470.78		5258
4		2		1		18		712		972		10		397.54		4865
5		49		5		14		446		662		10		380.55		4617
6		48		66		16		687		951		10		547.91		5902
7		29		69		17		755		963		10		423.64		4902
8		0		12		21		0		948		10		465.61		5315
9		11		24		30		268		518		10		716.22		8211
10		52		73		18		276		594		10		386.36		4363
11		20		71		20		810		1000		10		507.38		5726
12		45		33		20		627		907		10		457.34		5513
13		39		58		20		0		966		10		399.66		4769
14		27		19		26		806		972		10		866.63		8567
15		52		33		21		0		972		10		517.71		6126
16		32		68		18		0		167		10		435.61		5701
17		18		0		25		812		1000		10		595.38		6421
18		50		78		17		0		944		10		431.82		5357
19		20		46		20		495		697		10		532.16		5814
20		31		50		21		206		474		10		643.64		7502

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		7		3		6		14.83		1		1.6593596
Bt2		14		3		7		24.12		0		7.7159171
Bt3		10		6		6		50.76		0		27.4899907
Bt4		9		6		4		26.07		0		15.1011342
Bt5		12		4		7		23.10		0		10.1860349
Bt6		10		4		4		17.78		0		2.9951066
Bt7		12		2		8		12.99		0		2.5487722
Bt8		7		4		5		10.33		0		1.4736021
Bt9		13		3		7		15.18		0		4.4530532
Bt10		10		5		6		26.71		1		5.0209254
Bt11		7		6		6		35.97		0		9.9428471
Bt12		9		5		7		35.04		0		3.2023313
Bt13		10		5		7		34.19		0		3.0742836
Bt14		6		6		3		5.08		0		3.4845123
Bt15		7		6		8		26.87		0		2.6279056
Bt16		9		4		4		17.94		0		4.0641065
Bt17		11		4		5		14.64		0		1.7279745
Bt18		6		3		7		16.06		1		1.0884191
Bt19		11		6		3		14.76		0		2.4799098
Bt20		15		4		7		46.95		0		9.2650556
Bt21		16		3		5		33.18		1		2.3080298
Bt22		14		7		8		47.96		0		1.7725011
Bt23		8		4		6		11.31		0		4.0008887
Bt24		13		5		5		26.54		0		2.5141063
Bt25		16		4		7		59.90		0		3.8895617
Bt26		7		7		3		13.11		0		6.2993922
Bt27		13		5		7		30.75		1		1.0555348
Bt28		17		4		5		48.42		0		12.6861477
Bt29		7		4		8		19.67		0		8.4552455
Bt30		16		7		3		24.67		0		4.3222028
Bt31		7		7		5		11.14		0		4.4202057
Bt32		11		3		3		10.73		0		2.7086102
Bt33		6		4		4		10.53		0		8.9279280
Bt34		11		3		7		26.24		0		7.9733679
Bt35		11		6		7		34.99		0		2.9043304
Bt36		15		2		3		10.11		0		12.9051133
Bt37		17		5		4		22.52		0		3.4196500
Bt38		13		5		7		26.93		0		6.6407904
Bt39		15		3		7		41.98		0		2.8087356
Bt40		14		4		4		17.38		0		2.8743011
Bt41		8		5		7		27.52		0		3.0840519
Bt42		16		3		4		9.20		0		3.4157299
Bt43		15		3		6		31.62		0		8.8668202
Bt44		14		4		5		29.55		1		1.5679188
Bt45		11		2		8		15.80		1		0.8858908
Bt46		14		3		8		23.06		0		2.5913741
Bt47		8		7		7		23.80		0		2.7396595
Bt48		11		3		8		37.88		1		2.6778122
Bt49		10		4		6		26.18		0		5.3621445
Bt50		13		6		4		35.34		0		3.9187896
Bt51		17		3		3		7.86		0		9.1219273
Bt52		15		5		8		41.07		0		2.8775182
Bt53		6		6		7		12.81		0		9.7539603
Bt54		10		6		3		16.21		1		2.2297715
Bt55		11		3		8		13.84		0		3.2912845
Bt56		8		5		4		20.17		0		4.0326906
Bt57		15		3		8		26.97		0		1.8787289
Bt58		17		5		6		30.77		0		6.2617919
Bt59		9		4		5		20.81		0		5.1090175
