Name				387_n060_m400_bt100
Number_of_Customers		60
Number_of_Items			400
Number_of_ItemTypes		100
Number_of_Vehicles		27
TimeWindows			1

VEHICLE
Mass_Capacity			12595
CargoSpace_Length		60
CargoSpace_Width		25
CargoSpace_Height		30
Wheelbase			48
Max_Mass_FrontAxle		7100
Max_Mass_RearAxle		11500
Distance_FrontAxle_CargoSpace	4

CUSTOMERS
i		x		y		Demand		ReadyTime	DueDate		ServiceTime	DemandedMass	DemandedVolume
0		35		35		0		0		230		0		0		0
1		69		14		4		24		60		10		653.83		1259
2		31		35		7		123		151		10		713.94		1600
3		0		11		6		94		122		10		815.07		1302
4		8		38		6		144		170		10		1355.03		1702
5		54		44		8		46		78		10		1219.03		1945
6		49		19		7		28		58		10		1720.16		2393
7		44		73		6		51		97		10		1337.27		1894
8		51		71		8		106		142		10		1261.63		1708
9		50		28		8		8		34		10		1220.56		2296
10		15		33		9		67		91		10		1477.66		2320
11		42		27		8		85		117		10		972.51		1542
12		4		61		7		87		119		10		1373.3		1818
13		58		43		6		14		40		10		813.95		1311
14		2		76		7		112		144		10		761.56		1470
15		68		8		9		62		94		10		1831.74		2974
16		66		27		4		87		113		10		440.43		762
17		7		66		4		166		192		10		456.92		1461
18		27		12		5		89		113		10		894.02		1210
19		1		3		6		46		82		10		736.95		1575
20		6		33		8		140		162		10		1153.95		1947
21		1		68		7		139		161		10		800.09		1136
22		49		32		9		95		125		10		1141.02		1937
23		53		63		4		32		54		10		664.58		1520
24		21		31		6		52		86		10		1086.93		1874
25		41		32		6		85		105		10		752.83		1750
26		41		8		3		20		60		10		560.44		720
27		60		61		8		135		161		10		1200.86		1782
28		20		63		8		29		53		10		1167.75		1741
29		37		22		5		9		47		10		836.97		1396
30		41		36		4		68		92		10		610.62		1096
31		11		23		9		94		116		10		1032.68		1819
32		57		1		9		121		147		10		2057.31		3741
33		10		72		5		151		179		10		495.96		1081
34		58		55		9		104		130		10		1194.98		1947
35		23		76		7		32		62		10		1120.96		1921
36		24		19		8		105		131		10		1981.28		2994
37		66		74		8		150		180		10		1507.01		2225
38		55		28		6		9		39		10		917.14		1803
39		1		6		8		33		67		10		992.28		2043
40		0		42		8		125		149		10		1237.29		2405
41		2		50		6		52		78		10		1520.15		1858
42		70		51		5		124		156		10		374.06		897
43		15		16		5		103		125		10		900.08		1944
44		37		64		6		120		138		10		1351.13		1741
45		17		69		8		79		109		10		1228.29		1675
46		19		60		4		179		199		10		743.11		979
47		52		22		9		57		79		10		1187.55		2241
48		0		57		4		132		160		10		1186.42		1080
49		37		11		8		135		167		10		1220.77		2036
50		66		21		8		156		184		10		1283.9		2171
51		42		45		5		120		148		10		576.87		1049
52		60		77		7		82		108		10		936.98		1925
53		46		2		6		29		61		10		1030.5		1318
54		9		69		6		162		194		10		1226.04		1475
55		6		45		5		61		87		10		1725.19		1828
56		14		6		8		85		119		10		1058.72		2439
57		37		7		9		51		77		10		942.91		1537
58		69		48		5		39		67		10		684.91		1091
59		39		39		7		97		133		10		809.48		1521
60		21		71		9		104		132		10		2267.12		3248

ITEMS
Type		Length		Width		Height		Mass		Fragility	LoadBearingStrength
Bt1		9		3		8		70.69		0		22.2315532
Bt2		11		3		8		204.62		0		160.5873676
Bt3		7		2		5		68.62		0		171.4204177
Bt4		7		4		6		102.37		0		41.5685078
Bt5		7		3		3		33.05		0		17.3519842
Bt6		9		7		3		66.54		0		10.0681115
Bt7		16		4		4		192.01		0		81.9799784
Bt8		15		4		4		48.94		0		3.0432698
Bt9		11		4		7		225.50		0		17.2565421
Bt10		6		6		4		103.81		0		28.8194927
Bt11		8		3		6		76.02		0		27.1573399
Bt12		15		6		3		349.45		0		75.7495675
Bt13		7		6		6		128.84		0		16.8165993
Bt14		15		3		4		148.64		0		100.9096502
Bt15		9		5		7		197.92		0		42.4630729
Bt16		7		6		7		240.68		0		21.1341532
Bt17		8		4		3		78.09		0		38.2658657
Bt18		8		3		4		105.32		1		12.2619580
Bt19		9		6		7		180.22		0		12.3686254
Bt20		11		5		3		72.55		0		75.9041281
Bt21		14		5		5		240.54		0		44.9930241
Bt22		10		6		6		266.92		0		17.0174588
Bt23		13		3		5		150.76		0		27.2080075
Bt24		15		2		6		56.72		0		8.0564797
Bt25		8		6		4		57.81		0		8.8252464
Bt26		7		5		3		29.18		0		20.4629584
Bt27		16		5		3		159.20		0		24.8750781
Bt28		10		5		7		103.99		0		23.3215566
Bt29		13		5		8		193.70		0		68.7920607
Bt30		13		5		3		163.75		0		16.5953505
Bt31		14		7		8		251.08		0		8.1557006
Bt32		15		4		6		186.89		0		15.4410348
Bt33		6		6		7		94.87		0		26.9255461
Bt34		7		6		7		284.01		1		41.3771761
Bt35		15		4		8		238.14		1		6.1291014
Bt36		9		2		4		29.99		0		15.1941092
Bt37		17		6		4		216.94		0		58.0927181
Bt38		9		4		4		39.30		0		3.5986093
Bt39		12		5		4		239.42		0		89.9929416
Bt40		13		4		8		316.97		0		29.3125976
Bt41		7		6		3		95.74		1		6.2032229
Bt42		7		3		8		34.97		0		13.4782890
Bt43		16		5		8		404.11		1		32.1495429
Bt44		6		4		8		136.54		0		28.4454553
Bt45		9		6		7		168.53		0		21.1163652
Bt46		7		7		5		97.29		0		19.0842228
Bt47		6		6		5		68.04		0		10.0484566
Bt48		14		3		3		82.85		0		129.4378410
Bt49		15		2		8		106.52		1		2.9407071
Bt50		7		4		5		93.26		0		54.3548489
Bt51		10		2		4		60.06		1		6.8852260
Bt52		16		6		8		264.41		0		14.0364019
Bt53		15		4		6		131.40		0		11.6180158
Bt54		7		3		5		64.55		1		5.3611150
Bt55		8		2		7		50.35		0		20.5938391
Bt56		14		4		5		223.84		0		103.1171332
Bt57		9		3		7		50.17		1		2.1359460
Bt58		15		6		6		282.04		0		26.6465912
Bt59		6		2		7		149.24		0		78.6794947
Bt60		10		2		5		42.65		1		8.8381734
Bt61		11		6		5		87.70		0		38.7320565
Bt62		12		3		5		119.14		0		63.8164554
Bt63		11		6		5		334.95		0		53.5732559
Bt64		7		6		7		255.27		0		39.3679450
Bt65		16		3		5		125.74		0		20.5246275
Bt66		6		6		6		133.55		0		21.9491601
Bt67		9		4		4		221.82		0		72.8848814
Bt68		7		3		6		58.36		0		21.0117494
